,index,Size_Class,Curb_Wgt,ABS,Airbag_D,SSF,Drive,TireSize,StabilityControl,BrakeAssist,TractionControl,AdjUpperBeltFront,AdjUpperBeltRear,Pretensioner,IntegratedSeat,RearCtrLapShldrBelt,AdvanceAirbagFeature,SideAirbag,HeadAirbag,HeadAirbagRollover,RearSeatHeadRestraint,DynamicHeadRestraint,Roll_Stability,SafetyPowerWindows,WheelsDriven,DrStar_Num,PaStar_Num,DrSSTar_Num,PaSStar_Num
878,4830,Pickup,4485.0,False,False,1.16,RWD,30.606299212598426,True,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,RWD/4WD,3,3,4,4
879,4836,Sport Utility Vehicle,3501.0,False,False,1.22,FWD,28.515748031496063,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,AWD/FWD,4,4,4,4
880,4837,Van,3278.0,False,False,1.31,FWD,24.980314960629922,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,3,3,3,4
881,4838,Sport Utility Vehicle,3444.0,False,False,1.18,FWD,27.8503937007874,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,FWD/AWD,3,3,4,4
882,4839,Compact Passenger Car,2966.0,False,False,1.38,FWD,24.87795275590551,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,FWD,4,4,4,3
883,4842,Compact Passenger Car,2704.0,False,False,1.3,FWD,24.468503937007874,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,FWD,3,3,3,3
884,4843,Compact Passenger Car,2704.0,False,False,1.3,FWD,24.468503937007874,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,FWD,3,3,3,3
885,4844,Sport Utility Vehicle,4208.0,False,False,1.12,RWD,30.606299212598426,True,False,False,True,True,False,False,False,True,True,True,True,True,False,False,False,RWD/4WD,3,3,4,4
886,4846,Heavy Passenger Car,4012.0,False,False,1.33,FWD,27.62992125984252,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,RWD/AWD,3,3,4,4
887,4850,Heavy Passenger Car,3550.0,False,False,1.45,RWD,26.744094488188978,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,RWD/AWD,4,3,4,4
888,4853,Pickup,4485.0,False,False,1.16,RWD,30.606299212598426,True,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,RWD/AWD,3,3,4,4
889,4854,Sport Utility Vehicle,3606.0,False,False,1.19,RWD,28.515748031496063,True,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,RWD/AWD,3,3,4,4
890,4855,Medium Passenger Car,3000.0,False,False,1.32,FWD,25.68503937007874,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,FWD/AWD,3,3,4,3
891,4857,Medium Passenger Car,3491.0,False,False,1.41,FWD,26.32677165354331,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,FWD/AWD,4,4,4,4
892,4859,Heavy Passenger Car,3702.0,False,False,1.49,FWD,26.645669291338585,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,AWD/FWD,4,4,4,4
893,4860,Medium Passenger Car,3246.0,False,False,1.48,FWD,26.15748031496063,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,FWD,4,4,4,2
894,4861,Medium Passenger Car,3176.0,False,False,1.47,FWD,25.858267716535433,True,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,FWD,4,4,3,4
895,4862,Compact Passenger Car,2749.0,False,False,1.43,FWD,24.980314960629922,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,FWD,4,4,3,4
896,4863,Compact Passenger Car,2640.0,False,False,1.44,FWD,24.87795275590551,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,FWD,4,4,3,4
897,4864,Compact Passenger Car,2749.0,False,False,1.43,FWD,24.87795275590551,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,FWD,4,4,3,4
898,4865,Compact Passenger Car,2749.0,False,False,1.43,FWD,24.980314960629922,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,FWD,4,4,3,4
899,4874,Sport Utility Vehicle,3446.0,False,False,1.15,FWD,27.8503937007874,True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,AWD/FWD,4,4,4,4
900,4879,Van,2801.0,False,False,1.22,FWD,24.44488188976378,True,True,True,True,False,False,False,True,True,True,True,False,True,True,False,False,FWD,3,3,4,4
901,4880,Van,2801.0,False,False,1.22,FWD,24.44488188976378,True,True,True,True,False,False,False,True,True,True,True,False,True,True,False,False,FWD,3,3,4,4
902,4883,Compact Passenger Car,2800.0,False,False,1.44,FWD,24.980314960629922,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,FWD,4,4,4,3
