,index,Size_Class,Curb_Wgt,ABS,Airbag_D,SSF,Drive,TireSize,StabilityControl,BrakeAssist,TractionControl,AdjUpperBeltFront,AdjUpperBeltRear,Pretensioner,IntegratedSeat,RearCtrLapShldrBelt,AdvanceAirbagFeature,SideAirbag,HeadAirbag,HeadAirbagRollover,RearSeatHeadRestraint,DynamicHeadRestraint,BuiltInChildSeat,Roll_Stability,SafetyPowerWindows,WheelsDriven
436,2401,Compact Passenger Car,2829.0,N/A,N/A,1.43,FWD,P205/50R17,O,O,O,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,SeOn,FWD
437,2402,Medium Passenger Car,3056.0,N/A,N/A,1.46,FWD,P205/60R16,O,O,O,S,S,SF,A,S,S,STS1,SC2,False,A,A,A,A,SnSe,FWD/AWD
438,2403,Medium Passenger Car,3056.0,N/A,N/A,1.41,FWD,P215/50R17,A,A,O,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD
439,2404,Medium Passenger Car,3056.0,N/A,N/A,1.46,FWD,P205/60R16,A,A,O,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD
440,2405,Medium Passenger Car,3056.0,N/A,N/A,1.46,FWD,P205/60R16,A,A,O,S,A,SF,A,S,S,STS1,SC2,False,A,A,A,A,Se,FWD/AWD
441,2406,Heavy Passenger Car,3725.0,N/A,N/A,1.43,FWD,P215/60R17,A,A,O,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Se,FWD/AWD
442,2407,Sport Utility Vehicle,4111.0,N/A,N/A,1.29,FWD,P215/65R17,A,A,O,S,A,SF,A,S,S,OTS1,OC3,False,S,A,A,A,Se,FWD/AWD
443,2416,Compact Passenger Car,2824.0,N/A,N/A,1.41,FWD,P205/55R16,A,A,O,A,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,FWD
444,2421,Sport Utility Vehicle,3876.0,N/A,N/A,1.2,FWD,P215/55R18,S,S,S,S,A,SF,A,S,S,OTS1,SC2,False,S,A,A,A,Se,FWD/4WD
445,2425,Van,3278.0,N/A,N/A,1.31,FWD,P195/65R15,A,A,O,S,A,SF,A,S,S,OBS1,OB1,False,S,A,A,A,Se,FWD
446,2427,Sport Utility Vehicle,5276.0,N/A,N/A,1.12,RWD,P265/70R17,S,A,O,S,S,SF,S,S,S,N/A,OC3,False,S,A,A,S,Se,RWD
447,2428,Sport Utility Vehicle,5276.0,N/A,N/A,1.12,RWD,P265/70R17,S,A,O,S,S,SF,S,S,S,N/A,OC3,False,S,A,A,S,Se,RWD
448,2429,Sport Utility Vehicle,5276.0,N/A,N/A,1.12,RWD,P265/70R17,S,A,A,S,S,SF,S,S,S,N/A,SC3,False,S,A,A,S,Se,AWD
449,2430,Sport Utility Vehicle,5756.0,N/A,N/A,1.13,RWD,P265/70R17,S,A,A,S,S,SF,S,S,S,N/A,SC3,False,S,A,A,S,Se,AWD
450,2440,Heavy Passenger Car,4157.0,N/A,N/A,1.51,RWD,P225/60R16,A,A,O,S,A,SF,A,S,S,OBS1,OB1,False,A,A,A,A,N/A,RWD
451,2441,Medium Passenger Car,3248.0,N/A,N/A,1.36,FWD,P205/55R16,S,S,S,S,A,SF,A,S,S,STS1/OTS2,SC2,False,S,O,A,A,SnSe,FWD
452,2442,Medium Passenger Car,3248.0,N/A,N/A,1.36,FWD,P205/55R16,S,S,S,S,A,SF,A,S,S,STS1/OTS2,SC2,False,S,O,A,A,SnSe,FWD
453,2443,Compact Passenger Car,2562.0,N/A,N/A,1.37,FWD,P185/65R14,A,A,A,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,Se,FWD
454,2444,Compact Passenger Car,2890.0,N/A,N/A,1.32,FWD,P205/50R16,A,A,O,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,Se,FWD
455,2445,Medium Passenger Car,3252.0,N/A,N/A,1.4,FWD,P215/50R17,O,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,SeOn,FWD
456,2447,Sport Utility Vehicle,2878.0,N/A,N/A,1.17,FWD,P215/65R16,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD/AWD
457,2448,Compact Passenger Car,2966.0,N/A,N/A,1.38,FWD,P205/55R16,A,O,A,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,Se,FWD
458,2449,Compact Passenger Car,2522.0,N/A,N/A,1.35,FWD,P195/55R15,A,A,A,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Ae,FWD
459,2450,Compact Passenger Car,2878.0,N/A,N/A,1.42,FWD,P195/65R15,O,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,SeOn,FWD
460,2452,Sport Utility Vehicle,3606.0,N/A,N/A,1.19,RWD,P225/65R17,S,S,S,S,S,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,RWD/AWD
461,2453,Compact Passenger Car,2801.0,N/A,N/A,1.38,FWD,P195/55R15,A,O,A,S,A,SF,A,S,S,SBS1,SB1,False,S,A,A,A,Se,FWD
462,2454,Compact Passenger Car,2801.0,N/A,N/A,1.38,FWD,P195/55R15,A,O,A,S,A,SF,A,S,S,SBS1,SB1,False,S,A,A,A,Se,FWD
463,2463,Sport Utility Vehicle,3486.0,N/A,N/A,1.22,FWD,P225/65R17,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,AWD/FWD
464,2479,Compact Passenger Car,2522.0,N/A,N/A,1.35,FWD,P195/55R15,A,A,A,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD
465,2480,Compact Passenger Car,2878.0,N/A,N/A,1.42,FWD,P195/65R15,A,O,A,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,Se,FWD
466,2481,Medium Passenger Car,3414.0,N/A,N/A,1.44,FWD,P225/55R17,A,A,O,A,S,SF,A,S,S,OBS1,OB1,False,A,A,A,A,Se,FWD
467,2482,Pickup,4299.0,N/A,N/A,1.16,RWD,P265/70R16,O,S,O,S,A,SF,A,S,S,OTAPSx,OC2,False,S,S,A,A,Se,RWD/AWD
468,2483,Medium Passenger Car,3488.0,N/A,N/A,1.42,FWD,P245/45R18,O,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,FWD
469,2484,Sport Utility Vehicle,4006.0,N/A,N/A,1.25,FWD,P235/65R18,O,S,O,S,S,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,FWD/AWD
470,2485,Sport Utility Vehicle,4708.0,N/A,N/A,1.13,RWD,P245/75R16,S,S,S,S,S,SF,A,S,S,OTS1,OC3,False,S,S,A,A,SnSe,RWD/AWD
471,2486,Pickup,5073.0,N/A,N/A,1.19,RWD,P265/70R18,O,S,O,S,A,SF,A,S,S,OTS1,OC2,False,S,S,A,A,SeOn,RWD/AWD
472,2487,Sport Utility Vehicle,5750.0,N/A,N/A,1.14,RWD,P265/70R17,S,A,A,S,S,SF,A,S,S,N/A,SC2,False,S,A,A,S,Se,AWD
473,2488,Heavy Passenger Car,3552.0,N/A,N/A,1.38,FWD,P225/50R18,S,A,S,S,S,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD
474,2493,Heavy Passenger Car,3618.0,N/A,N/A,1.41,FWD,P215/55R17,S,S,S,S,A,SF,A,S,S,STS1/OTS2,SC2,False,S,A,A,A,SnSe,FWD
475,2495,Medium Passenger Car,3441.0,N/A,N/A,1.42,FWD,P215/60R16,A,A,O,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD
476,2496,Heavy Passenger Car,3558.0,N/A,N/A,1.44,FWD,P235/45R17,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD
477,2497,Medium Passenger Car,3305.0,N/A,N/A,1.37,FWD,P215/50R17,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD
478,2498,Sport Utility Vehicle,3364.0,N/A,N/A,1.18,FWD,P215/65R16,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,Se,FWD/AWD
479,2499,Sport Utility Vehicle,4320.0,N/A,N/A,1.23,FWD,P245/60R18,S,S,S,S,A,SF,A,S,S,STS1,SC3,False,S,O,A,A,SnSe,FWD/AWD
480,2500,Van,4566.0,N/A,N/A,1.31,FWD,P225/70R16,S,S,S,S,S,SF,A,S,S,STS1,SC3,False,S,O,A,A,Se,FWD
481,2501,Sport Utility Vehicle,3994.0,N/A,N/A,1.22,FWD,P235/60R18,S,S,S,S,A,SF,A,S,S,STS1,SC3,False,S,O,A,A,Se,FWD/AWD
482,2502,Compact Passenger Car,2562.0,N/A,N/A,1.37,FWD,P185/65R14,A,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,Ae,FWD
483,2504,Heavy Passenger Car,3735.0,N/A,N/A,1.51,RWD,P215/60R16,S,S,S,S,A,SF/SR,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,RWD
484,2505,Medium Passenger Car,3252.0,N/A,N/A,1.4,FWD,P215/50R17,O,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,SeOn,FWD
485,2506,Medium Passenger Car,3461.0,N/A,N/A,1.32,FWD,P205/60R16,S,O,S,S,A,SF,A,S,S,STS1,SC2/3,False,S,O,A,A,Se,FWD
486,2507,Pickup,5152.0,N/A,N/A,1.19,RWD,P245/70R17,S,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
487,2508,Pickup,5381.0,N/A,N/A,1.19,RWD,P245/70R17,A,A,O,S,S,SF,A,A,S,N/A,OC1,False,A,A,A,A,Se,RWD/AWD
488,2509,Pickup,5152.0,N/A,N/A,1.19,RWD,P245/70R17,S,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
489,2510,Sport Utility Vehicle,4706.0,N/A,N/A,1.23,FWD,P255/60R19,S,A,S,S,S,SF,A,S,S,STS1,SC3,False,S,A,A,A,SnSe,FWD/AWD
490,2513,Compact Passenger Car,2896.0,N/A,N/A,1.36,FWD,P215/45R18,O,S,A,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD
491,2514,Sport Utility Vehicle,3788.0,N/A,N/A,1.19,FWD,P225/55R18,S,A,S,S,S,SF,S,S,S,STS1,SC2,False,S,A,A,A,Se,FWD/AWD
492,2515,Compact Passenger Car,2704.0,N/A,N/A,1.3,FWD,P185/65R15,A,O,A,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,SeOn,FWD
493,2516,Van,4566.0,N/A,N/A,1.31,FWD,P225/70R16,S,O,O,S,S,SF,A,S,S,STS1,SC2,False,S,O,A,A,Se,FWD
494,2517,Sport Utility Vehicle,5276.0,N/A,N/A,1.12,RWD,P265/70R17,S,A,S,S,S,SF,S,S,S,N/A,SC3,False,S,A,A,S,Se,RWD
495,2518,Sport Utility Vehicle,5276.0,N/A,N/A,1.12,RWD,P265/70R17,S,A,S,S,S,SF,S,S,S,N/A,SC3,False,S,A,A,S,Se,RWD
496,2519,Sport Utility Vehicle,4646.0,N/A,N/A,1.17,RWD,P245/70R16,S,A,S,A,S,SF,S,S,S,N/A,SC2,False,S,A,A,A,Se,RWD/AWD
497,2520,Van,4342.0,N/A,N/A,1.17,FWD,P225/60R17,S,A,S,S,S,SF,A,S,S,OBS2,OB2,False,S,A,O,A,Se,FWD
498,2521,Sport Utility Vehicle,4706.0,N/A,N/A,1.23,FWD,P255/60R19,S,A,S,S,S,SF,A,S,S,STS1,SC3,False,S,A,A,A,SnSe,FWD/AWD
499,2522,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,A,SF,A,A,S,N/A,OC1,False,A,A,A,A,Se,RWD/AWD
500,2523,Pickup,4044.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
501,2524,Sport Utility Vehicle,4646.0,N/A,N/A,1.17,RWD,P245/70R16,S,A,O,A,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,N/A,RWD/AWD
502,2525,Sport Utility Vehicle,4646.0,N/A,N/A,1.17,RWD,P245/70R16,S,A,O,A,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,N/A,RWD/AWD
503,2526,Sport Utility Vehicle,4646.0,N/A,N/A,1.17,RWD,P245/70R16,S,A,O,A,S,SF,S,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/4WD
504,2528,Compact Passenger Car,2806.0,N/A,N/A,1.27,FWD,P215/50R17,O,A,A,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Se,FWD/AWD
505,2529,Compact Passenger Car,2806.0,N/A,N/A,1.27,RWD,P215/50R17,O,O,O,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Oe,FWD
506,2530,Sport Utility Vehicle,3106.0,N/A,N/A,1.3,FWD,P205/55R16,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD
507,2531,Compact Passenger Car,2890.0,N/A,N/A,1.32,FWD,P205/50R16,A,A,O,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,Se,FWD
508,2532,Van,4566.0,N/A,N/A,1.31,FWD,P225/70R16,S,O,O,S,S,SF,A,S,S,STS1,SC2,False,S,O,A,A,Se,FWD
509,2533,Medium Passenger Car,3336.0,N/A,N/A,1.44,FWD,P225/50R17,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,SnSe,FWD
510,2534,Van,4566.0,N/A,N/A,1.31,FWD,P225/70R16,S,O,S,S,S,SF,A,S,S,STS1,SC3,False,S,O,A,A,Se,FWD
511,2535,Compact Passenger Car,2890.0,N/A,N/A,1.32,FWD,P205/50R16,A,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,Ae,FWD
512,2536,Compact Passenger Car,2890.0,N/A,N/A,1.32,FWD,P205/50R16,A,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,Ae,FWD
513,2537,Heavy Passenger Car,4022.0,N/A,N/A,1.45,RWD,P235/50R17,S,S,S,S,S,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,RWD/AWD
514,2538,Compact Passenger Car,2896.0,N/A,N/A,1.36,FWD,P215/45R18,O,S,A,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD
515,2539,Medium Passenger Car,3441.0,N/A,N/A,1.42,FWD,P215/60R16,A,A,O,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD
516,2540,Medium Passenger Car,3198.0,N/A,N/A,1.43,FWD,P215/60R16,A,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,FWD
517,2541,Van,4284.0,N/A,N/A,1.36,FWD,P225/65R16,O,S,S,S,S,SF,A,S,S,OTS1,SC3,False,S,S,A,A,SnSe,FWD
518,2546,Heavy Passenger Car,3562.0,N/A,N/A,1.39,FWD,P225/60R16,A,A,O,S,S,SF,A,S,S,N/A,OC2,False,A,A,A,A,Se,FWD
519,2554,Compact Passenger Car,2551.0,N/A,N/A,1.32,FWD,P185/60R14,A,A,A,S,A,SF,A,S,S,SBS1,SB1,False,S,A,A,A,Se,FWD
520,2555,Sport Utility Vehicle,3980.0,N/A,N/A,1.21,FWD,P235/65R16,S,A,S,S,A,SF,A,S,S,N/A,SC3,False,S,A,A,A,Se,FWD/AWD
521,2569,Sport Utility Vehicle,4890.0,N/A,N/A,1.16,RWD,P265/70R17,S,O,S,S,A,SF,A,S,S,STS1,SC3,False,S,A,A,O,Se,AWD/2WD
522,2571,Pickup,4219.0,N/A,N/A,1.15,RWD,P225/70R15,A,A,A,S,A,SF,A,A,S,N/A,N/A,False,A,A,A,A,N/A,RWD/AWD
523,2584,Compact Passenger Car,2824.0,N/A,N/A,1.41,FWD,P205/55R16,A,A,O,A,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,FWD
524,2585,Medium Passenger Car,3355.0,N/A,N/A,1.49,FWD,205/55R16,S,S,S,S,A,SF/SR,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD/AWD
525,2587,Compact Passenger Car,2801.0,N/A,N/A,1.38,FWD,P195/55R15,A,O,A,S,A,SF,A,S,S,SBS1,SB1,False,S,A,A,A,Se,FWD
526,2588,Compact Passenger Car,2978.0,N/A,N/A,1.57,RWD,225/45R17,S,S,S,A,A,SF,A,A,S,STD1,N/A,False,A,A,A,A,SnSe,RWD
527,2589,Sport Utility Vehicle,5034.0,N/A,N/A,1.16,RWD,P245/70R17,S,S,S,S,S,SF,A,S,S,N/A,SC3,False,S,A,A,A,SnSe,RWD/AWD
528,2590,Sport Utility Vehicle,4079.0,N/A,N/A,1.21,FWD,P225/70R16,S,S,O,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD/AWD
529,2593,Sport Utility Vehicle,3486.0,N/A,N/A,1.22,FWD,P225/65R17,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,AWD/FWD
530,2594,Sport Utility Vehicle,3446.0,N/A,N/A,1.15,FWD,P215/70R16,S,S,S,A,A,SF,S,A,S,STS1,SC2,False,S,A,A,A,SnSe,AWD/FWD
531,2595,Van,4370.0,N/A,N/A,1.3,FWD,235/65R16,S,S,S,S,S,SF,A,O,S,STS1,SC3,False,S,S,A,A,SnSe,FWD
532,2596,Compact Passenger Car,2749.0,N/A,N/A,1.43,FWD,P195/65R15,A,A,A,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,FWD
533,2597,Compact Passenger Car,2545.0,N/A,N/A,1.57,RWD,205/55R16,S,S,S,A,A,SF,A,A,S,N/A,N/A,False,A,A,A,A,SnSe,RWD
534,2598,Compact Passenger Car,2553.0,N/A,N/A,1.32,FWD,P195/55R15,A,A,A,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD
535,2607,Medium Passenger Car,3012.0,N/A,N/A,1.41,FWD,P205/55R16,O,O,O,S,A,SF,A,A,S,OBS1,OB1,False,S,A,A,A,Se,FWD
536,2608,Medium Passenger Car,3336.0,N/A,N/A,1.44,FWD,P225/50R17,S,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,SnSe,FWD
537,2609,Compact Passenger Car,2824.0,N/A,N/A,1.4,FWD,P195/60R15,O,O,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,FWD
538,2610,Compact Passenger Car,2824.0,N/A,N/A,1.41,FWD,P205/55R16,O,O,O,A,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,FWD
539,2611,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,A,SF,A,A,S,N/A,OC1,False,A,A,A,A,Se,RWD/AWD
540,2612,Pickup,4044.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
541,2613,Sport Utility Vehicle,3815.0,N/A,N/A,1.2,FWD,P235/65R16,S,A,S,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,N/A,FWD/AWD
542,2616,Van,5372.0,N/A,N/A,1.09,RWD,P245/75R16,S,A,S,S,S,SF,S,S,S,N/A,SC3,False,A,A,A,A,Se,RWD
543,2618,Sport Utility Vehicle,3162.0,N/A,N/A,1.29,FWD,P215/55R16,O,O,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,N/A,FWD
544,2619,Heavy Passenger Car,3562.0,N/A,N/A,1.39,FWD,P225/60R16,O,A,O,S,S,SF,A,S,S,N/A,OC2,False,A,A,A,A,Se,FWD
545,2620,Medium Passenger Car,3250.0,N/A,N/A,1.4,FWD,P205/65R15,A,A,A,S,S,SF,A,S,S,N/A,SC2,False,A,A,A,A,Se,FWD
546,2621,Pickup,5381.0,N/A,N/A,1.19,RWD,P245/70R17,O,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
547,2622,Pickup,5152.0,N/A,N/A,1.19,RWD,P245/70R17,S,A,S,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
548,2623,Pickup,5381.0,N/A,N/A,1.19,RWD,P245/70R17,A,A,O,S,A,SF,A,A,S,N/A,OC1,False,A,A,A,A,Se,RWD/AWD
549,2624,Sport Utility Vehicle,5756.0,N/A,Std,1.13,RWD,P265/70R17,S,A,S,S,S,SF,S,S,S,N/A,SC3,False,S,A,A,A,Se,RWD
550,2626,Medium Passenger Car,3248.0,N/A,N/A,1.36,FWD,P205/55R16,O,S,S,S,A,SF,A,S,S,STS1/OTS2,SC2,False,S,A,A,A,SnSe,FWD
551,2627,Medium Passenger Car,3248.0,N/A,N/A,1.36,FWD,P205/55R16,S,S,S,S,A,SF,A,S,S,STS1/OTS2,SC2,False,S,A,A,A,SnSe,FWD
552,2630,Medium Passenger Car,3219.0,N/A,N/A,1.4,FWD,205/50R17,S,S,S,S,A,SF/SR,A,S,S,STS1,SC2,False,S,A,O,A,SnSe,FWD/AWD
553,2631,Compact Passenger Car,2801.0,N/A,N/A,1.38,FWD,P195/55R15,A,O,A,S,A,SF,A,S,S,SBS1,SB1,False,S,A,A,A,Se,FWD
554,2632,Sport Utility Vehicle,4343.0,N/A,N/A,1.25,RWD,P265/60R18,S,S,S,S,S,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,RWD/AWD
555,2633,Sport Utility Vehicle,5538.0,N/A,N/A,1.16,RWD,P265/70R18,S,A,S,S,S,SF,S,S,S,STS1,SC3,False,S,S,A,A,SnSe,RWD/AWD
556,2634,Medium Passenger Car,3003.0,N/A,N/A,1.59,RWD,225/45R18,O,A,O,A,A,SF,A,A,S,STS1,SC2,False,A,A,A,A,Se,RWD
557,2635,Sport Utility Vehicle,3917.0,N/A,N/A,1.28,FWD,P235/60R18,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,A,A,A,A,SnSe,FWD/AWD
558,2636,Compact Passenger Car,2829.0,N/A,N/A,1.43,FWD,P205/50R17,O,O,A,S,A,SF,A,O,S,STS1,SC2,False,A,A,A,A,Se,FWD
559,2637,Compact Passenger Car,2829.0,N/A,N/A,1.43,FWD,P205/50R17,O,O,A,S,A,SF,A,O,S,OTS1,OC2,False,S,A,A,A,Se,FWD
560,2638,Medium Passenger Car,3056.0,N/A,N/A,1.46,FWD,P205/60R16,A,A,O,S,A,SF,A,S,S,STS1,SC2,False,A,A,A,A,SnSe,FWD
561,2639,Van,5372.0,N/A,N/A,1.09,RWD,P245/75R16,S,A,S,S,S,SF,S,S,S,N/A,SC3,False,A,A,A,A,Se,RWD
562,2640,Pickup,5381.0,N/A,N/A,1.19,RWD,P245/70R17,A,A,O,S,A,SF,A,A,S,N/A,OC1,False,A,A,A,A,Se,RWD/AWD
563,2641,Pickup,5381.0,N/A,N/A,1.19,RWD,P245/70R17,O,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
564,2642,Pickup,5152.0,N/A,N/A,1.19,RWD,P245/70R17,S,A,S,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
565,2643,Sport Utility Vehicle,5276.0,N/A,N/A,1.12,RWD,P265/70R17,S,A,S,S,S,SF,S,S,S,N/A,SC3,False,S,A,A,S,Se,RWD
566,2644,Sport Utility Vehicle,5276.0,N/A,N/A,1.12,RWD,P265/70R17,S,A,S,S,S,SF,S,S,S,N/A,SC3,False,S,A,A,S,Se,RWD
567,2645,Sport Utility Vehicle,5756.0,N/A,N/A,1.13,RWD,P265/70R17,S,A,S,S,S,SF,S,S,S,N/A,SC3,False,S,A,A,A,Se,RWD
568,2647,Compact Passenger Car,2824.0,N/A,N/A,1.41,FWD,P205/55R16,O,O,O,A,S,SF,A,S,S,N/A,SC2,False,S,A,A,A,Se,FWD
569,2648,Medium Passenger Car,3430.0,N/A,N/A,1.46,FWD,P225/50R17,O,O,S,A,S,SF,A,A,S,STS1,SC2,False,A,A,A,A,Se,FWD
570,2649,Medium Passenger Car,3258.0,N/A,N/A,1.36,FWD,P235/45R17,S,A,S,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,FWD
571,2651,Heavy Passenger Car,3526.0,N/A,N/A,1.37,FWD,P215/55R16,S,A,S,S,S,SF,A,S,S,SBS1,SB1,False,S,S,A,A,SnSe,FWD
572,2652,Heavy Passenger Car,3526.0,N/A,N/A,1.33,FWD,P235/45R17,S,A,S,S,A,SF,A,S,S,SBS1,SB1,False,S,S,A,A,SnSe,FWD
573,2654,Heavy Passenger Car,3552.0,N/A,N/A,1.38,FWD,P225/50R18,O,O,S,S,S,SF,A,S,S,STS1,SC2,False,A,A,A,A,SnSe,FWD
574,2655,Heavy Passenger Car,3552.0,N/A,N/A,1.38,FWD,P215/60R16,O,O,S,S,S,SF,A,S,S,STS1,SC2,False,A,A,A,A,SnSe,FWD
575,2656,Sport Utility Vehicle,4706.0,N/A,N/A,1.23,FWD,P255/60R19,S,A,S,S,S,SF,A,S,S,STS1,SC3,False,S,A,A,A,SnSe,FWD/AWD
576,2657,Compact Passenger Car,2934.0,N/A,N/A,1.65,RWD,P245/45R18,S,A,A,A,A,SF,A,A,S,N/A,N/A,False,A,A,A,A,Se,RWD
577,2658,Compact Passenger Car,2824.0,N/A,N/A,1.41,FWD,P205/55R16,A,A,O,A,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,FWD
578,2659,Compact Passenger Car,2824.0,N/A,N/A,1.41,FWD,P205/55R16,A,A,O,A,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,FWD
579,2660,Compact Passenger Car,2806.0,N/A,N/A,1.27,FWD,P215/50R17,O,A,A,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Se,FWD/AWD
580,2708,Pickup,5381.0,N/A,N/A,1.19,RWD,P245/70R17,A,A,O,S,A,SF,A,A,S,N/A,OC1,False,A,A,A,A,Se,RWD/AWD
581,2709,Pickup,5152.0,N/A,N/A,1.19,RWD,P245/70R17,S,A,S,S,S,SF,A,S,S,N/A,N/A,False,S,A,A,A,Se,RWD/AWD
582,2710,Medium Passenger Car,3056.0,N/A,N/A,1.46,FWD,P205/60R16,A,A,O,S,A,SF,A,S,S,STS1,SC2,False,A,A,A,A,SnSe,FWD
583,2712,Pickup,4219.0,N/A,N/A,1.15,RWD,P225/70R15,A,A,A,S,A,SF,A,A,S,N/A,N/A,False,A,A,A,A,Se,RWD/AWD
584,2723,Medium Passenger Car,3404.0,N/A,N/A,1.3,FWD,P205/50R17,A,S,A,S,A,SF,A,A,S,STS1,SC3,False,S,A,A,A,Se,FWD
585,2725,Sport Utility Vehicle,4456.0,N/A,N/A,1.27,FWD,P245/60R18,S,S,S,S,A,SF,A,S,S,STS1,SC3,False,S,A,A,A,SnSe,FWD/AWD
586,2727,Sport Utility Vehicle,5750.0,N/A,N/A,1.14,RWD,P265/70R17,S,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD
587,2740,Sport Utility Vehicle,3788.0,N/A,N/A,1.19,FWD,P225/55R18,S,A,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD/AWD
588,2744,Compact Passenger Car,2806.0,N/A,N/A,1.27,RWD,P215/50R17,O,O,O,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Ae,FWD
589,2745,Compact Passenger Car,2954.0,N/A,N/A,1.33,FWD,P185/65R15,O,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD
