,index,Size_Class,Curb_Wgt,ABS,Airbag_D,SSF,Drive,TireSize,StabilityControl,BrakeAssist,TractionControl,AdjUpperBeltFront,AdjUpperBeltRear,Pretensioner,IntegratedSeat,RearCtrLapShldrBelt,AdvanceAirbagFeature,SideAirbag,HeadAirbag,HeadAirbagRollover,RearSeatHeadRestraint,DynamicHeadRestraint,BuiltInChildSeat,Roll_Stability,SafetyPowerWindows,WheelsDriven
331,2154,Sport Utility Vehicle,4343.0,N/A,N/A,1.25,RWD,P265/60R18,S,S,S,S,S,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,RWD/AWD
332,2155,Sport Utility Vehicle,5750.0,N/A,N/A,1.14,RWD,P265/70R17,S,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD
333,2156,Medium Passenger Car,3463.0,N/A,N/A,1.43,FWD,195/65R15,S,S,S,S,A,SF/SR,A,S,S,STS1,SC2,False,S,A,O,A,SnSe,FWD
334,2157,Heavy Passenger Car,3843.0,N/A,N/A,1.42,FWD,P235/55R17,S,O,O,S,A,SF,A,S,S,STS2,SC2,False,S,O,A,A,SnSe,FWD
335,2158,Sport Utility Vehicle,3364.0,N/A,N/A,1.18,FWD,P215/65R16,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,Se,FWD/AWD
336,2159,Sport Utility Vehicle,3994.0,N/A,N/A,1.22,FWD,P235/60R18,S,S,S,S,A,SF,A,S,S,STS1,SC3,False,S,S,A,A,SnSe,FWD/AWD
337,2160,Van,4566.0,N/A,N/A,1.31,FWD,P225/70R16,S,O,O,S,S,SF,A,S,S,STS1,SC2,False,S,O,A,A,Se,FWD
338,2161,Sport Utility Vehicle,4165.0,N/A,N/A,1.16,RWD,P245/70R16,S,S,A,S,A,SF,A,S,S,N/A,SC2,False,S,O,A,A,Se,RWD/AWD
339,2162,Medium Passenger Car,3461.0,N/A,N/A,1.32,FWD,P205/60R16,O,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,Se,FWD
340,2163,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,A,SF,A,A,S,N/A,OC2,False,A,A,A,A,Se,RWD/AWD
341,2164,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,A,SF,A,A,S,N/A,OC2,False,A,A,A,A,Se,RWD/AWD
342,2165,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,A,SF,A,A,S,N/A,OC2,False,A,A,A,A,Se,RWD/AWD
343,2166,Pickup,5381.0,N/A,N/A,1.19,RWD,P245/70R17,O,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
344,2168,Sport Utility Vehicle,4646.0,N/A,N/A,1.17,RWD,P245/70R16,S,A,O,A,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,N/A,RWD/AWD
345,2169,Heavy Passenger Car,4022.0,N/A,N/A,1.45,RWD,P235/50R17,S,S,S,S,S,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,RWD/AWD
346,2170,Sport Utility Vehicle,5750.0,N/A,N/A,1.14,RWD,P265/70R17,S,A,S,S,S,SF,A,S,S,N/A,SC2,False,S,A,A,A,Se,RWD
347,2171,Light Passenger Car,2459.0,N/A,N/A,1.32,FWD,P185/60R14,A,A,A,S,A,SF,A,S,S,SBS1,SB1,False,S,A,A,A,Se,FWD
348,2172,Compact Passenger Car,2551.0,N/A,N/A,1.32,FWD,P185/60R14,A,A,A,S,A,SF,A,S,S,SBS1,SB1,False,S,A,A,A,Se,FWD
349,2186,Sport Utility Vehicle,4320.0,N/A,N/A,1.23,FWD,P245/60R18,S,S,S,S,A,SF,A,S,S,STS1,SC3,False,S,S,A,A,SnSe,FWD/AWD
350,2188,Sport Utility Vehicle,3565.0,N/A,N/A,1.14,FWD,P235/70R16,A,A,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD/AWD
351,2189,Sport Utility Vehicle,4706.0,N/A,N/A,1.23,FWD,P255/60R19,S,A,S,S,S,SF,A,S,S,STS1,SC3,False,S,A,A,A,SnSe,FWD/AWD
352,2190,Compact Passenger Car,2824.0,N/A,N/A,1.4,FWD,P195/60R15,A,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,FWD
353,2225,Compact Passenger Car,2716.0,N/A,N/A,1.38,FWD,P195/60R15,A,A,O,S,A,SF,A,A,S,N/A,OC2,False,A,A,A,A,N/A,FWD
354,2227,Heavy Passenger Car,3735.0,N/A,N/A,1.51,RWD,P215/60R16,S,S,S,S,A,SF/SR,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,RWD
355,2228,Compact Passenger Car,2824.0,N/A,N/A,1.41,FWD,P205/55R16,A,A,O,A,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,FWD
356,2229,Medium Passenger Car,3219.0,N/A,N/A,1.4,FWD,205/50R17,S,S,S,S,A,SF/SR,A,S,S,STS1,SC2,False,S,A,O,A,SnSe,FWD/AWD
357,2231,Sport Utility Vehicle,5512.0,N/A,N/A,1.16,RWD,P265/70R18,S,S,S,S,S,SF,A,S,S,OTS1,SC3,False,S,S,A,A,SnSe,RWD/AWD
358,2238,Medium Passenger Car,3012.0,N/A,N/A,1.41,FWD,P205/55R16,O,O,O,S,A,SF,A,A,S,SBS1,SB1,False,A,A,A,A,Se,FWD
359,2239,Heavy Passenger Car,3843.0,N/A,N/A,1.42,FWD,P235/55R17,S,S,S,S,A,SF,A,S,S,STS2,SC2,False,S,O,A,A,SnSe,FWD
360,2248,Sport Utility Vehicle,2878.0,N/A,N/A,1.17,FWD,P215/65R16,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,O,A,A,Se,FWD/AWD
361,2249,Sport Utility Vehicle,4165.0,N/A,N/A,1.16,RWD,P245/70R16,S,S,S,S,A,SF,A,S,S,N/A,SC2,False,S,O,A,A,Se,RWD/AWD
362,2250,Sport Utility Vehicle,4646.0,N/A,N/A,1.17,RWD,P245/70R16,S,A,S,A,S,SF,S,S,S,N/A,SC2,False,S,A,A,A,Se,RWD/4WD
363,2251,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,A,SF,A,A,S,N/A,OC2,False,A,A,A,A,Se,RWD
364,2252,Medium Passenger Car,3430.0,N/A,N/A,1.43,FWD,P225/50R17,O,O,S,S,S,SF,A,S,S,STS1,SC2,False,A,A,A,A,Se,FWD
365,2254,Compact Passenger Car,2934.0,N/A,N/A,1.65,RWD,P245/45R18,O,A,A,A,A,SF,A,A,S,N/A,N/A,False,A,A,A,A,Se,RWD
366,2255,Sport Utility Vehicle,3815.0,N/A,N/A,1.2,FWD,P235/65R16,S,A,S,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,N/A,FWD/AWD
367,2256,Compact Passenger Car,2806.0,N/A,N/A,1.27,FWD,P215/50R17,O,A,A,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Se,FWD/AWD
368,2257,Sport Utility Vehicle,3521.0,N/A,N/A,1.21,FWD,P225/55R17,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,SnSe,FWD/AWD
369,2258,Van,4163.0,N/A,N/A,1.25,FWD,P215/65R16,O,S,O,S,S,SF,A,S,S,STS1,SC3,False,S,A,A,A,SnSe,AWD/RWD
370,2259,Sport Utility Vehicle,4396.0,N/A,N/A,1.15,RWD,P265/70R16,S,S,S,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,SnSe,RWD
371,2260,Pickup,3606.0,N/A,N/A,1.28,RWD,P215/70R15,O,S,S,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Se,RWD/AWD
372,2261,Pickup,3503.0,N/A,N/A,1.28,RWD,P215/70R15,O,S,S,S,A,SF,A,A,S,N/A,N/A,False,A,A,A,A,Oe,RWD/AWD
373,2262,Heavy Passenger Car,3725.0,N/A,N/A,1.43,FWD,P215/60R17,A,A,O,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Se,FWD/AWD
374,2268,Sport Utility Vehicle,4456.0,N/A,N/A,1.27,FWD,P245/60R18,S,S,S,S,A,SF,A,S,S,STS1,SC3,False,S,A,A,A,SnSe,FWD/AWD
375,2269,Compact Passenger Car,2886.0,N/A,N/A,1.39,FWD,P205/55R16,S,S,S,A,A,SF,A,A,S,SBS1,SB1,False,S,S,A,A,SnSe,FWD
376,2270,Compact Passenger Car,2934.0,N/A,N/A,1.65,RWD,P245/45R18,O,A,A,A,A,SF,A,A,S,N/A,N/A,False,A,A,A,A,Se,RWD
377,2271,Sport Utility Vehicle,4706.0,N/A,N/A,1.23,FWD,P255/60R19,S,A,S,S,S,SF,A,S,S,STS1,SC3,False,S,A,A,A,SnSe,FWD/AWD
378,2272,Compact Passenger Car,2934.0,N/A,N/A,1.65,RWD,P245/45R18,O,A,A,A,A,SF,A,A,S,N/A,N/A,False,A,A,A,A,Se,RWD
379,2273,Van,5372.0,N/A,N/A,1.12,RWD,P245/75R16,O,A,A,S,S,SF,A,S,S,N/A,N/A,False,A,A,A,A,N/A,RWD
380,2275,Pickup,5381.0,N/A,N/A,1.19,RWD,P245/70R17,A,A,O,S,S,SF,A,A,S,N/A,OC1,False,A,A,A,A,Se,RWD/AWD
381,2277,Heavy Passenger Car,3725.0,N/A,N/A,1.43,FWD,P215/60R17,O,A,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD/AWD
382,2278,Sport Utility Vehicle,4111.0,N/A,N/A,1.29,FWD,P215/65R17,S,A,S,S,A,SF,A,S,S,STS1,SC3,False,S,A,A,A,Se,FWD/AWD
383,2282,Compact Passenger Car,2904.0,N/A,N/A,1.38,FWD,P215/45R17,A,A,A,A,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,SnSe,FWD
384,2293,Pickup,5203.0,N/A,N/A,1.17,RWD,P275/65R18,S,S,S,O,A,SF,A,A,S,STS1,SC2,False,A,A,A,A,Oe,RWD/AWD
385,2294,Pickup,5738.0,N/A,N/A,1.17,RWD,P275/65R18,S,S,S,S,S,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,RWD/AWD
386,2296,Medium Passenger Car,3258.0,N/A,N/A,1.36,FWD,P235/45R17,S,A,S,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,FWD
387,2302,Sport Utility Vehicle,4354.0,N/A,N/A,1.24,FWD,P235/70R16,S,S,S,S,A,SF,A,S,S,STS1,SC3,False,S,A,A,A,SnSe,AWD/FWD
388,2304,Compact Passenger Car,2749.0,N/A,N/A,1.43,FWD,P205/55R16,O,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,OnSe,FWD
389,2305,Compact Passenger Car,2640.0,N/A,N/A,1.44,FWD,P205/55R16,O,O,O,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,OnSe,FWD
390,2306,Compact Passenger Car,2749.0,N/A,N/A,1.43,FWD,P195/65R15,A,A,A,S,A,SF,A,S,S,STS1,SC2,False,S,S,A,A,SnSe,FWD
391,2307,Pickup,4044.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,S,SF,A,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
392,2308,Pickup,4044.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,A,SF,A,A,S,N/A,OC2,False,A,A,A,A,Se,RWD
393,2309,Compact Passenger Car,2806.0,N/A,N/A,1.27,RWD,P215/50R17,O,O,O,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Ae,FWD
394,2310,Heavy Passenger Car,3731.0,N/A,N/A,1.45,RWD,225/55R16,S,S,S,S,S,SF/SR,A,S,S,STS2,SC2,False,S,S,A,A,SnSe,RWD/AWD
395,2311,Heavy Passenger Car,3731.0,N/A,N/A,1.45,RWD,225/55R16,S,S,S,S,S,SF/SR,A,S,S,STS2,SC2,False,S,S,A,A,SnSe,RWD/AWD
396,2312,Medium Passenger Car,3410.0,N/A,N/A,1.43,FWD,P215/60R16,A,A,O,S,A,SF,A,S,S,OBS1,OB1,False,A,A,A,A,N/A,FWD
397,2313,Medium Passenger Car,3410.0,N/A,N/A,1.43,FWD,P215/60R16,A,A,O,S,A,SF,A,S,S,OBS1,OB1,False,A,A,A,A,N/A,FWD
